,exp,mic,helmet,toaster,teapot,ficus,materials,chair,coffee,lego,hotdog,ship,drums,car,ball,mean
0,noprednorms_nl0_conserve_pb0,134.46243526632543,30.29403157285195,54.09192696009358,46.840497867289194,80.6741262992151,85.77988833656241,77.87911657085836,80.45330310273845,66.13700407341221,61.51886995724144,60.233540391508164,78.77987547610026,86.64965610555494,93.79369382276472,74.11342612875117
1,fixedmip,,,,,,,,,,,,,,,
2,noconv,,,,,,,,,,,,,,,
3,fixedmip128,173.37249661802244,66.23142969700454,68.75053934733141,71.34852212316383,126.00161491627581,102.10930847067876,130.3330627151501,92.07518448304214,66.23775316246675,77.7787450264492,80.98747919171326,97.51419219061951,87.6039862085909,104.40451461774423,96.05348776916092
4,tensorf,153.64680684834656,80.12704514197911,81.57137585912841,69.78430107587137,81.57137585912841,126.33795790907516,81.57137585912841,95.27442314540616,70.53688005594368,86.57255641727707,86.60473649814188,81.58739222182504,126.34518462354845,126.15630195778229,96.26340810518444
5,singlebounce_samen,144.68055885583334,92.63330139057308,97.043430287577,117.78285982961616,95.64399470188008,89.32824055047473,83.19283061286113,87.7573585410207,79.26700635994645,88.39912455054801,87.34850446744427,79.09568196026751,122.26213677902973,93.19773118090889,96.97376857628436
6,interpdiffuse,,,,,,,,,,,,,,,
7,interpdiffuse_flipnorm,,,,,,,,,,,,,,,
8,nodiffuse,,,,,,,,,,,,,,,
9,noupsample,,,,,,,,,,,,,,,
